pk,doc,vdoc,name_french,clarification,alternative_id,representation,featuredomain_pk,designer_pk,dependson,abbreviation,sortkey_str,sortkey_int,jl_relevant_unit,jl_function,jl_formal_means
68,I.e. two or more contrastive tones ('N' here and 'Y' for 1.1.15 implies a stress system - make a note to 1.1.15 if this is not the case),0==absent||1==present,,,1.1.18,201,2,1,,Tonal,,16,,,
69,,0==absent||1==present,peut  rédupliquer des éléments autres que les verbes et les noms?,"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication counts, but if there is only reduplication of individual phonemes the language should be coded with a ""0"" and a comment. Reduplication of units larger than one phoneme, independent of whether they are morphemes or not, also counts as reduplication here. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone.",4.5.07,259,2,1,160,OtherRedup,,160,other,derivation,reduplication
70,,0==absent||1==present,Existe-t-il une distinction entre le masculin et leféminin pour les pronoms de 1ere personne?,,,96,1,2,197:0 -> 162:na,,,162,pronoun,pronominal gender,functional inventory
71,i.e. if the answer to 2.5.01 is YES,0==0||1==1||10==10||11==11||12==12||13==13||14==14||15==15||16==16||17==17||18==18||19==19||2==2||20==20||21==21||22==22||23==23||24==24||25==25||3==3||4==4||5==5||6==6||7==7||8==8||9==9,Combien de genres/classes nominales y-a-t-il ?,We are counting singular and plural NCs as separate here. Comments should be made on how the gender/NC-system is constructed,2.5.01a,91,2,2,50:0 -> 163:na,NCMany,,163,noun,nominal classification,functional inventory
72,,0==absent||1==present,Est-il possible  de marquer le triel sur le nom lui-même?,"This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.",,97,1,2,(222:1 v 223:1 v 224:1 v 225:1 v 226:1) -> 165:1,TriMarked,,165,noun,number,affixes & clitics (- agreement)
73,,0==absent||1==present,Est-il possible  de marquer le paucal sur le nom lui-même?,"This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.",,96,1,2,(227:1 v 228:1 v 229:1 v 230:1 v 231:1) -> 166:1,PaucMarked,,166,noun,number,affixes & clitics (- agreement)
74,,0==absent||1==present,Existe-t-il des pronom logophoriques pour l 3ème  personne ?,"Is there a pronoun that marks that the subject of a dependent clause is the same as the subject for the matrix clause? NB, this is a matter of 3rd person pronouns.",,68,1,1,167,,,167,pronoun,cohesion,functional inventory
75,,0==absent||1==present,"Existe-t-il une distinction entre animé et inanimé pour les pronoms de 3ème  personne (ou pour les démonstratifs, s’il n’y a pas de pronoms de 3ème  personne)?",,,94,1,2,30:0 -> 168:na,,,168,pronoun,pronominal gender,functional inventory
76,,0==absent||1==present,"Existe-t-il une distinction entre le masculin et le féminin pour les pronoms de 3ème  personne (ou pour les démonstratifs, si ’il n’y a pas des pronoms de 3ème  personne)?",,,94,1,2,30:0 -> 169:na,,,169,pronoun,pronominal gender,functional inventory
77,,0==absent||1==present,,,1.2.02,240,2,1,,WordFinalC,,17,,,
78,,0==absent||1==present,Un modificateur nominal attribut dénotant une qualité peut-il s’accorder en genrre/classe nominale à la tête d’un syntagme nominal ?,"Attributive nominal modifier is roughly equal to the old term ""adjective"".",,88,1,2,56:0 -> 170:na,NCAgreeANM,,170,adjective,nominal classification,agreement
79,,0==absent||1==present,Les démonstratifs  peuvent-ils s'accorder en nombre à la tête du syntagme nominal?,Demonstratives can agree in gender/noun class with the head noun even if the head noun is not overtly marked for number,,99,1,2,56:0 -> 171:na,NCAgreeDEM,,171,demonstrative,nominal classification,agreement
80,,0==absent||1==present,Les articles peuvent-ils s'accorder en genre/classe nominal à la tête du syntagme nominal?,Articles can agree in gender/noun class with the head noun even if the head noun is not overtly marked for number,,80,1,2,56:0 -> 172:na,NCAgreeART,,172,article,nominal classification,agreement
81,,0==absent||1==present,Est-ce que  la classe nominale et le nombre sont toujours marqués par un morphème portemanteau sur le nom ?,"If there are ""plural noun classes"" the answer is (1).",,94,1,3,40:0 -> 173:na,,,173,noun,nominal classification,affixes & clitics (- agreement)
82,,0==absent||1==present,Est-ce que la classe nominale et nombre sont marqués par un morphème portemanteau sur le nom au singulier ?,,,91,1,3,40:0 -> 174:na,,,174,noun,nominal classification,affixes & clitics (- agreement)
83,,0==absent||1==present,Est-ce que la classe nominale et nombre sont marqués par un morphème portemanteau sur le nom au pluriel ?,,,91,1,3,40:0 -> 175:na,,,175,noun,nominal classification,affixes & clitics (- agreement)
84,,0==absent||1==present,L’accord de genre/classe nominale peut-il être marqué par un morphème portemanteau sur des autres éléments dans le syntagme nominale?,If this is true of at least one agreement target that is enough.,,87,1,3,(50:0 ^ 56:0) -> 176:0,,,176,noun phrase,nominal classification,agreement
85,,0==absent||1==present,"Est-il possible  que le verbe porte un marqueur d’argumentà caractère animé, sans rapport avec le genre/classe nominale de l’argument en question ?",This system needs to be unrelated to the gender/noun class system.,,79,2,1,177,,,177,verb,nominal classification,head marking
86,,0==absent||1==present,Est-il possible que plusieurs genres/classes nominales aient le même genre ou la même classe nominale de pluriel?,,,83,1,3,50:0 -> 178:na,,,178,noun,nominal classification,functional inventory
87,,0==absent||1==present,Existe-t-il des genres/classes nominales qui ne peuvent pas être marqué en nombre?,See F45.,,76,1,2,45:0 -> 179:na,,,179,noun,nominal classification,declension
88,,0==absent||1==present,,,1.2.03a,204,2,1,,OnsetCClust,,18,,,
89,,0==absent||1==present,Le marquage du nombre est-il obligatoire pour certains types de noms?,"""Certain types of nouns"" refers to groups of nominal roots. There are languages where obligatoriness of number marker varies with the information status/deictic status of the referents (Yowle and Guro for example), that kind of distinction is not what this feature is concerned with.",,79,1,2,(182:1 v 183:1) -> 181:1,,,181,noun,number,declension
90,,0==absent||1==present,Le marquage du nombre est-il obligatoire seulement pour des noms animés?,,,71,1,2,182:1 -> 181:1,,,182,noun,number,declension
91,,0==absent||1==present,Le marquage du nombre est-il obligatoire pour les noms humains uniquement?,,,74,1,2,183:1 -> 181:1,,,183,noun,number,declension
92,,0==absent||1==present,Un modificateur nominal attribut dénotant une qualité peut-il s’accorder en nombre à la tête d’un syntagme nominal ?,"Attributive nominal modifier is roughly equal to the old term ""adjective"".",,85,1,2,184,,,184,adjective,number,agreement
93,,0==absent||1==present,Les démonstratifs peuvent-ils s'accorder en genre/classe nominale à la tête du syntagme nominal?,Demonstratives can agree in number with the head noun even if the head noun is not overtly marked for number,,95,1,2,185,,,185,demonstrative,number,agreement
94,,0==absent||1==present,Les  articles peuvent-ils s'accorder en nombre avec la tête du syntagme nominal?,Articles can agree in number with the head noun even if the head noun is not overtly marked for number,,72,1,2,186,,,186,article,number,agreement
95,,0==absent||1==present,Existe-t-il un processus productif de maquage du diminutif sur le nom?,The marker can mark for more than only diminutive.,,73,1,3,187,,,187,noun,diminutive,affixes & clitics (- agreement)
96,,0==absent||1==present,Existe-t-il un procesuus productif de marquage de l’augmentatif sur le nom?,The marker can mark for more than only augmentative.,,61,1,3,188,,,188,noun,augmentative,affixes & clitics (- agreement)
97,,0==absent||1==present,,,1.2.04,205,2,1,,CodaCClust,,19,,,
98,,0==absent||1==present,Existe-t-il une construction morphologique de voix moyenne?,"Middle voice here is defined as a marker that signals that the subject carries properties of both the semantic role of patient and agent (see Lyon 1969:373). This markers can go under the names of ""medio-passive"" or ""auto-benefactive"". This middle marker cannot index the object, this makes it different from a reflexive pronoun.",,68,1,1,191,,,191,other,TAM marking,affixes & clitics (- agreement)
99,,0==absent||1==present,Les propriétés phonologiques de la base nominale constituent-elles une catégorie pertinente dans le système de genre/classe nominale?,"Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC. Phonological properties can be tone, initial consonant etc.",,81,1,2,50:0 -> 192:na,,,192,noun,nominal classification,declension
100,,0==there are no ANM||1==ANM-N||2==N-ANM||3==Both,Quelle est l’ordre relatif du nom et et du modificateur nominal attribut qui denote une propriété/qualité ?,"""Attributive nominal modifier"" is roughly equal to the old term ""adjective"", we want to include elements that mark ""adjectival"" function but that might not be described as ""adjectives"", see feature 69.",,90,1,2,193,,,193,adjective,attribution,word order
101,,0==absent||1==present,Existe-t-il des articles indéfinis ou non-spécifiques?,"An article is a marker that accompanies the noun and expresses notions such as (non-)specificity, (in)definiteness and information status (new or given status). Sometimes these notions of specificity, definiteness and information status are summed up in the term ""identifiability"". Articles cannot occur independently, though they might be homophonous with pronouns or numerals that can. A language does not necessarily have both an non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not be similar in formal expression or position. Formal expression is irrelevant, articles can be free, bound, or marked by suprasegmental markers such as tone. Articles are different from demonstratives in that demonstratives occur in a paradigm where there are markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific article they form a natural continuum making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often obligatory in certain context that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning 'a certain'. As articles necessarily accompany nouns, it is in these cases it is necessary to investigate whether the marker can occur independently or not, if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns, see discussions on multifunctionality and take an informed stance in the language-specific case whether these markers are homophonous or polysemic.  Indefinite or unspecific articles can grammaticalize from pronouns meaning 'any' or 'a certain', in these cases it is necessary to investigate whether the marker can occur independently or not.  If it can it is most likely a pronoun and not an article. One way of distinguishing between numerals meaning 'one' and an indefinite/non-specific article is whether it can modify plural nouns or not, if it can it's an article.",,75,1,2,194,,,194,article,definiteness,functional inventory
102,,0==absent||1==present,Un nom peut-il recevoir plus d’un marqueur nominal à la fois ?,"Can a noun have more than one noun class marker on itself? This feature was inspired by Aikhenvald (2000:63-66), however, if one of the markers is not classified as a noun class in NTS because it is a productive marker of evaluation, honorifics or location it does not count here.",,79,1,2,40:0 -> 195:na,,,195,noun,nominal classification,declension
103,,0==absent||1==present,Existe-t-il une distinction de genre pour les pronoms de 2ème personne?,,,96,1,2,202:1 -> 196:1,,,196,pronoun,pronominal gender,functional inventory
104,,0==absent||1==present,Existe-t-il une distinction de genre pour les pronoms de 1ere  personne?,,,97,1,2,162:1 -> 197:1,,,197,pronoun,pronominal gender,functional inventory
105,,0==absent||1==present,Est-ce possible pour les numéraux de s’accorder en genre/classe nominal avec le tete de syntgame nominal?,,,85,1,2,56:0 -> 198:na,,,198,numeral,nominal classification,agreement
106,,0==absent||1==present,Est-il possible  que les verbes de s’accordent en genre/classe nominale avec l’objet nominal ?,"Main verbs only and nominal arguments. Agreement does not have to obligatory in all conditions, for example it can vary with negation or TAME, but  its absence cannot be triggered by the presence of nominal arguments. If the marker disappears when there is a nominal argument then it’s not agreement, it is just a regular pronoun. Pronoun often “agree” with the nominal argument their “replacing” (their antecedent), this is however not verbal agreement. The antecedent of the agreement marker must be able to be present in the clause.",,75,1,2,50:0 -> 199:na,,,199,verb,nominal classification,agreement
107,"For example, does the language permit a phonetic contrast between -nk- and -ŋk- clusters",0==absent||1==present,,,1.1.03b,191,2,1,,NasVelStpSeq,,2,,,
108,,0==absent||1==present,Existe-t-il des articles définis ou spécifiques?,"An article is a marker that accompanies the noun and expresses notions such as (non-)specificity, (in)definiteness and information status (new or given status). Sometimes these notions of specificity, definiteness and information status are summed up in the term ""identifiability"". Articles cannot occur independently, though they might be homophonous with pronouns or numerals that can. A language does not necessarily have both an non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not be similar in formal expression or position.||Formal expression is irrelevant, articles can be free, bound, or marked by suprasegmental markers such as tone.||Articles are different from demonstratives in that demonstratives occur in a paradigm where there are markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific article they form a natural continuum making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often obligatory in certain context that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning 'a certain'. As articles necessarily accompany nouns, it is in these cases it is necessary to investigate whether the marker can occur independently or not, if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns, see discussions on multifunctionality and take an informed stance in the language-specific case whether these markers are homophonous or polysemic.",2.1.01,319,2,1,20,DefSpecArt,,20,article,definiteness,functional inventory
109,,0==absent||1==present,Est-Il possible  que les verbes de s’accordent en nombre avec l’objet nominal ?,"Main verbs only and nominal arguments. Agreement does not have to obligatory in all conditions, for example it can vary with negation or TAME, but  its absence cannot be triggered by the presence of nominal arguments. If the marker disappears when there is a nominal argument then it’s not agreement, it is just a regular pronoun. Pronoun often “agree” with the nominal argument their “replacing” (their antecedent), this is however not verbal agreement. The antecedent of the agreement marker must be able to be present in the clause.",,67,1,2,200,,,200,verb,number,agreement
110,,0==absent||1==present,Existe-t-il une distinction entre le masculin et le féminin pour les pronoms de 2ème personne?,,,97,1,2,196:0 -> 202:na,,,202,pronoun,pronominal gender,functional inventory
111,,1==Dem-N||2==N-Dem||3==both,"Quelle est l’ordre relatif du quantificateur universel (‘tous, toutes’) et du nom?",,,79,1,1,203,,,203,quantifier,quantification,word order
112,,0==absent||1==present,"Existe-t-il des stratégies différentes de marquage pour le quantificateur universel (‘tous, toutes’) et le quantificateur distributif (‘chaque’)?",This feature pertains both to difference in order and to different markers.,,60,1,1,204,,,204,quantifier,quantification,multiple
113,,0==absent||1==present,Le marquage du nombre est-il interdit pour des noms inanimés?,See F45.,,57,1,2,"205:1 -> 45:1, 45:0 -> 205:na",,,205,noun,number,declension
114,,0==absent||1==present,Le marquage du nombre est-il interdit pour des noms de masse?,See F45.,,52,1,2,"206:1 -> 45:1, 45:0 -> 206:na",,,206,noun,number,declension
115,,0==absent||1==present,Le marquage de nombre est-il optionnel pour certains types des noms?,,,57,1,2,207,,,207,noun,number,declension
116,,0==absent||1==present,Est-il possible de marquer le singulier par un préfix sur le nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,93,1,2,42:0 -> 208:na,SingPreN,,208,noun,number,affixes & clitics (- agreement)
117,,0==absent||1==present,Est-il possible de marquer le singulier par un suffixe sur le nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,92,1,2,42:0 -> 209:na,SingSufN,,209,noun,number,affixes & clitics (- agreement)
118,"If only on personal names, disregard",0==absent||1==present,Un NP indéfini  est-il obligatoirement marqué par un article indéfini (ou non-spécifique)?,"In this question we need explicit support that indefinite NPs cannot occur without an indefinite/non-specific article. Personal names are excluded here, they do not suffice for a 'yes' (1).",2.1.02a,284,2,1,194:0 -> 21:na,IndefArticle,,21,article,definiteness,inserted item
119,,0==absent||1==present,Est-il possible  de marquer le singulier par supplétion du nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,65,1,2,42:0 -> 210:na,SingSupN,,210,noun,number,suppletion
120,,0==absent||1==present,Est-il possible de marquer le singulier uniquement par un ton sur le nom?,"This means that tone is the only marker of singular in the construction, not in the language. This does not have to be on an open set of nouns, it can be only for restricted set.",,82,1,2,42:0 -> 211:na,SingToneN,,211,noun,number,intonation
121,,0==absent||1==present,Est-il possible  de marquer le duel par un préfix sur le nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,96,1,2,43:0 -> 212:na,DuaPreN,,212,noun,number,affixes & clitics (- agreement)
122,,0==absent||1==present,Est-il possible  de marquer le duel par un suffixe sur le nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,96,1,2,43:0 -> 213:na,DuaSufN,,213,noun,number,affixes & clitics (- agreement)
123,,0==absent||1==present,Est-il possible  de marquer le duel par supplétion du nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,95,1,2,43:0 -> 214:na,DuaSupN,,214,noun,number,suppletion
124,,0==absent||1==present,Est-il possible  de marquer le duel  uniquement par ton sur le nom ?,"This means that tone is the only marker of dual in the construction, not in the language. This does not have to be on an open set of nouns, it can be only for restricted set.",,96,1,2,43:0 -> 215:na,DuaToneN,,215,noun,number,intonation
125,,0==absent||1==present,Est-il possible  de marquer le duel par réduplication du nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,96,1,2,43:0 -> 216:na,DuaRedupN,,216,noun,number,reduplication
126,,0==absent||1==present,Est-il possible  de marquer le pluriel par un préfix sur le nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,97,1,2,44:0 -> 217:na,PlPreN,,217,noun,number,affixes & clitics (- agreement)
127,,0==absent||1==present,Est-il possible  de marquer le pluriel par un suffixe sur le nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,91,1,2,44:0 -> 218:na,PlSufN,,218,noun,number,affixes & clitics (- agreement)
128,,0==absent||1==present,Est-il possible  de marquer le pluriel par supplétion du nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,63,1,2,44:0 -> 219:na,PlSupN,,219,noun,number,suppletion
129,,0==absent||1==present,Existe-t-il des articles pré-nominaux?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",2.1.03a,287,2,1,"(172:1 v 186:1 v 22:1 v 194:1) -> (22:1 v 23:1), (20:0 ^ 194:0) -> (22:na ^23:na)",PrenomArt,,22,article,definiteness,word order
130,,0==absent||1==present,Est-il possible  de marquer le pluriel  rien que par ton sur le nom ?,"This means that tone is the only marker of plural in the construction, not in the language. This does not have to be on an open set of nouns, it can be only for restricted set.",,84,1,2,44:0 -> 220:na,PlToneN,,220,noun,number,intonation
131,,0==absent||1==present,Est-il possible  de marquer le pluriel par réduplication du nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,78,1,2,44:0 -> 221:na,PlRedupN,,221,noun,number,reduplication
132,,0==absent||1==present,Est-il possible  de marquer le triel par un préfix sur le nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,96,1,2,165:0 -> 222:na,TriPreN,,222,noun,number,affixes & clitics (- agreement)
133,,0==absent||1==present,Est-il possible  de marquer le triel par un suffixe sur le nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,95,1,2,165:0 -> 223:na,TriSufN,,223,noun,number,affixes & clitics (- agreement)
134,,0==absent||1==present,Est-il possible  de marquer le triel par supplétion du nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,96,1,2,165:0 -> 224:na,TriSupN,,224,noun,number,suppletion
135,,0==absent||1==present,Est-il possible  de marquer le triel uniquement par un ton sur le nom ?,"This means that tone is the only marker of trial in the construction, not in the language. This does not have to be on an open set of nouns, it can be only for restricted set.",,96,1,2,165:0 -> 225:na,TriToneN,,225,noun,number,intonation
136,,0==absent||1==present,Est-il possible  de marquer le triel par réduplication du nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,96,1,2,165:0 -> 226:na,TriRedupN,,226,noun,number,reduplication
137,,0==absent||1==present,Est-il possible  de marquer le paucal par un préfix sur le nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,94,1,2,166:0 -> 227:na,PaucPreN,,227,noun,number,affixes & clitics (- agreement)
138,,0==absent||1==present,Est-il possible  de marquer le paucal par un suffixe sur le nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,95,1,2,166:0 -> 228:na,PaucSufN,,228,noun,number,affixes & clitics (- agreement)
139,,0==absent||1==present,Est-il possible  de marquer le paucal par supplétion du nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,94,1,2,166:0 -> 229:na,PaucSupN,,229,noun,number,suppletion
140,,0==absent||1==present,Existe-t-il des articles post-nominaux?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",2.1.03b,297,2,1,"(172:1 v 186:1 v 22:1 v 194:1) -> (22:1 v 23:1), (20:0 ^ 194:0) -> (22:na ^23:na)",PostnomArt,,23,article,definiteness,word order
141,,0==absent||1==present,Est-il possible  de marquer le paucal rien que par ton sur le nom,"This means that tone is the only marker of paucal in the construction, not in the language. This does not have to be on an open set of nouns, it can be only for restricted set.",,95,1,2,166:0 -> 230:na,PaucToneN,,230,noun,number,intonation
142,,0==absent||1==present,Est-il possible  de marquer le paucal par réduplication du nom?,"This does not have to be on an open set of nouns, it can be only for restricted set.",,94,1,2,166:0 -> 231:na,PaucRedupN,,231,noun,number,reduplication
143,,0==absent||1==present,Est-il possible  de marquer le diminutif par un préfix sur le nom?,,,74,1,3,187: 0 -> 232:na,DimPreN,,232,noun,diminutive,affixes & clitics (- agreement)
144,,0==absent||1==present,Est-il possible  de marquer le diminutif par un suffixe sur le nom?,,,69,1,3,187: 0 -> 234:na,DimSufN,,234,noun,diminutive,affixes & clitics (- agreement)
145,,0==absent||1==present,Est-il possible  de marquer le diminutif par supplétion sur le nom?,,,65,1,3,187: 0 -> 235:na,DimSupN,,235,noun,diminutive,suppletion
146,,0==absent||1==present,Est-il possible  de marquer lediminutif uniquement par ton sur le nom?,,,72,1,3,187: 0 -> 236:na,DimToneN,,236,noun,diminutive,intonation
147,,0==absent||1==present,Est-il possible  de marquer le diminutif par réduplication du nom?,,,72,1,3,187: 0 -> 237:na,DimRedupN,,237,noun,diminutive,reduplication
148,,0==absent||1==present,Est-il possible  de marquer le diminutif par sélection de classe nominale?,This feature captures noun class marking both on the noun and elsewhere in the clause (i.e. agreement on the verb or nominal modifiers).,,70,1,3,187: 0 -> 238:0,DimNC,,238,noun,diminutive,affixes & clitics (- agreement)
149,,0==absent||1==present,Est-il possible  de marquer l’augmentatif par un préfix sur le nom?,,,62,1,3,188:0 -> 239:na,AugPreN,,239,noun,augmentative,affixes & clitics (- agreement)
150,,1==Num-N||2==N-Num||3==both,Quel est l’ordre du numéral et du nom dans le NP?,What is the pragmatically unmarked order of the cardinal numeral and the noun?,see 2.1.05a and 2.1.05b,283,2,1,24,OrderNumN,,24,numeral,quantification,word order
151,,0==absent||1==present,Est-il possible  de marquer l’augmentatif par un suffixe sur le nom?,,,63,1,3,188:0 -> 240:na,AugSufN,,240,noun,augmentative,affixes & clitics (- agreement)
152,,0==absent||1==present,Est-il possible  de marquer l’augmentatif par suppletion sur le nom?,,,63,1,3,188:0 -> 241:na,AugSupN,,241,noun,augmentative,suppletion
153,,0==absent||1==present,Est-il possible  de marquer l’augmentatif uniquement par un ton ton sur le nom?,,,64,1,3,188:0 -> 242:na,AugToneN,,242,noun,augmentative,intonation
154,,0==absent||1==present,EEst-il possible  de marquer l’augmentatif par réduplication du nom?,,,63,1,3,188:0 -> 243:na,AugRedupN,,243,noun,augmentative,reduplication
155,,0==absent||1==present,Est-il possible  de marquer l’augmentatif par sélection de classe nominale?,This feature captures noun class marking both on the noun and elsewhere in the clause (i.e. agreement on the verb or nominal modifiers).,,64,1,3,188:0 -> 244:0,AugNC,,244,noun,augmentative,affixes & clitics (- agreement)
156,,0==absent||1==present,Est-ce possible de marquer le genre ou la classe nominale par un préfixe sur le nom?,,,91,1,2,"40:0 -> 245:na, (245:1 v 246:1 v 247:1 v 248:1) -> 40:1",NCPre,,245,noun,nominal classification,affixes & clitics (- agreement)
157,,0==absent||1==present,Est-ce possible de marquer le genre ou la classe nominale par un suffixe sur le nom?,,,85,1,2,"40:0 -> 246:na, (245:1 v 246:1 v 247:1 v 248:1) -> 40:1",NCSuf,,246,noun,nominal classification,affixes & clitics (- agreement)
158,,0==absent||1==present,Est-ce possible de marquer le genre ou la classe nominale par supplétion sur le nom?,,,78,1,2,"40:0 -> 247:na, (245:1 v 246:1 v 247:1 v 248:1) -> 40:1",NCSup,,247,noun,nominal classification,suppletion
159,,0==absent||1==present,Est-il possible de marquer le genre ou la classe nominal uniquement par un ton sur le nom ?,"This means that tone is the only marker of gender/noun class in the construction, not in the language.",,85,1,2,"40:0 -> 246:na, (245:1 v 246:1 v 247:1 v 248:1) -> 40:1",NCTone,,248,noun,nominal classification,intonation
160,,0==absent||1==present,Existe-t-il variation de marquage des participants basiques?,"F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is there position in relation to the verbal root that is targeted.",,72,1,2,(95:1 v 96:1 v 97:1 v 98:1) -> 249:1,,,249,clause,argument marking,head marking
161,,1==Dem-N||2==N-Dem||3==both,Quel est la position relative du démonstratif et du nom dans le NP?,"All questions concerning order of elements aim to capture the pragmatically unmarked order, i.e. focus etc. is discarded.",see 2.1.05c and 2.1.05d,289,2,1,25,OrderDem,,25,demonstrative,deixis,word order
162,,0==absent||1==present,Est-il possible de construire la prédication possessive par un verbe d’habeo ?,"Is there a verb that expresses predicative possession where the possessor is the subject, the possessum the object and the verb is finite and clearly transitive. The finite element in itself need not be clearly distinct from an existential or locational predicator, the main difference is the argument structure.  Transitivity is a language-specific category that needs to be investigate separately to learn whether or not the construction is transitive. In case of languages where transitivity is hard to define it might be beneficial to compare to verbs of ""hold"" and ""grasp"". It is very likely that habeo-verb constructions arise from possessive constructions where the possessor is expressed as a topic (see feature 255).",,54,1,1,250,,,250,verb,possession,inserted item
163,,0==absent||1==present,Est-il possible de construire la prédication possessive par une construction intransitive avec une copule ou un verbe d’existence/location où le possèdé est le sujet?,"This category encompasses constructions where the finite element is a verb of existence or location and the possessum is the subject. This category has four subdivisions: locative, dative, genitive and topic.",,53,1,1,(252:1 v 253:1 v 254:1 v 255:1) -> 251:1,,,251,clause,possession,inserted item
164,,0==absent||1==present,Est-il possible de construire la prédication possessive au moyen d’une une construction possessive locative?,"Locative possessive means a construction where possessum the subject of an existential/locative predicative and the possessor in an oblique formed marked by an element meaning ""at/in/on"" (i.e. ""a car is on me"") or the locational function is marked on the verb. The possessor-NP need not be overtly marked for location, it can be expressed in the verb itself, i.e. dependent versus head-marking is irrelevant.",,52,1,1,251:0 -> 252:na,,,252,clause,possession,multiple
165,,0==absent||1==present,Est-il possible de construire la prédication possessive au moyen d’une construction possessive dative?,"Is the possessum the subject of an existential predicative and the possessor in an oblique formed marked by an element meaning ""to/for"" (i.e. ""a car is to me""). The possessor-NP need not be overtly marked for dative case, it can be expressed in the verb itself, i.e. dependent versus head-marking is irrelevant.",,52,1,1,251:0 -> 253:na,,,253,clause,possession,multiple
166,,0==absent||1==present,Est-ce possible de construire la prédication possessive au moyen d’une construction possessive génitive?,"The possessum is the subject, there is no locational or dative marking of the possessor. The possessor may be construed as a modifier of the possessum (i.e. ""my car exists"").",,51,1,1,251:0 -> 254:na,,,254,clause,possession,multiple
167,,0==absent||1==present,Est-il possible de construire la prédication possessive au moyen d’une construction possessive topique?,"The possessum is the subject and the possessor is marked as topic (i.e. ""concerning me, there is a car""). The Topic Possessive shares with the Locative and the Genitive Possessive the characteristic that the possessed NP is construed as the grammatical subject of the existential predicate. The distinguishing feature of the Topic Possessive lies in the encoding of the possessor NP, which is construed as the topic of the sentence.",,51,1,1,251:0 -> 255:na,,,255,clause,possession,multiple
168,,0==absent||1==present,Est-il possible  de construire la prédication possessive au moyen d’une construction possessive conjointe?,"Conjunctional possessive means that the possessor is the subject, the predicative is a existential/locational/copula verb and the possessum is marked by a element marking simultaneity between clauses or ""also/too"" or  subordinating conjunction (""when/while"") or  coordinating particle (""and"") or a comitative marker {""with"").  The conjugational/comitative/coordination/topical/simultaneity marking need not be bound to the possessum-NP, but it needs to mark the possessum-NP, i.e. dependent versus head-marking is irrelevant.",,50,1,1,256,,,256,clause,possession,multiple
