ID,Name,Description,Contributor_ID,Doc,Vdoc,Name_french,Clarification,Alternative_id,Representation,Dependson,Abbreviation,Jl_relevant_unit,Jl_function,Jl_formal_means,Domain
71,Is there case marking for core pronouns?,,gerreesink,Is there case marking for personal pronouns who act as core participants to the verb?,0==absent||1==present,"Existe-t-il des cas grammaticaauxpour les pronominaux basiques (i.e. S, A et O) ?","Core pronouns are the NPs required by the verb to be present, typically S, A or O.",2.9.01a,294,71,PronounCase,pronoun,argument marking,case marking,Arawakan-specific
72,Is there case marking for oblique nominal NPs?,,gerreesink,"e.g. locationals, instrumentals, etc. do not count adpositions",0==absent||1==present,Existe-t-il des cas grammaticaux qui affectent les NPs obliques?,"Oblique NPs are NPs not required by the verb to be present, adverbial information, locative phrases, temporal phrases etc. Oblique case is defined as any bound marking that relates the role of the argument to the predicate - that is not core (S, A or O).",2.9.02,322,72,OblNPCase,noun phrase,argument marking,case marking,Arawakan-specific
73,Is there case marking for oblique pronouns?,,gerreesink,,0==absent||1==present,Existe-t-il des cas grammaticaux qui affectent les pronoms obliques?,"Oblique pronouns are NPs not required by the verb to be present, adverbial information, locative phrases, temporal phrases etc. There are cases where obliques can express emphasized as core arguments. If these contexts are pragmatically marked they do not trigger a no (0) in F73 as there is still a distinction between core prototypical neutral core arguments and obliques. Oblique case is defined as any bound marking that relates the role of the argument to the predicate - that is not core (S, A or O). We explicitly exclude “genitive” from oblique cases since it is not concerned with the role of the argument to the predicate but within an NP. Languages can have oblique case without also having core case.",2.9.02a,277,73,OblPronCase,pronoun,argument marking,case marking,Arawakan-specific
74,Are there prepositions?,,gerreesink,,0==absent||1==present,Existe-t-il des prépositions ?,,2.9.03,323,74,Prepositions,adposition,argument marking,constituent marking,Arawakan-specific
75,Are there postpositions?,,gerreesink,,0==absent||1==present,Existe-t-il des postpositions ?,,2.9.04,328,75,Postpositions,adposition,argument marking,constituent marking,Arawakan-specific
76,Are there adpositions to mark core NPs?,,gerreesink,Core NPs are the NPs required by the verb to be present,0==absent||1==present,"Existe-t-il des adpositions qui marquent les NPs basiques (i.e. S, A et O) ?","Core NPs are the NPs required by the verb to be present, typically S, A or O. We are not to count the arguments of non-prototypical clause types, such as copula, existential verbs or predicative possessive constructions that are construed with copulas or existential verbs as core arguments.",2.9.05,293,76,CoreNPAdpos,adposition,argument marking,constituent marking,Arawakan-specific
77,Are there adpositions to mark oblique NPs?,,gerreesink,,0==absent||1==present,Existe-t-il des adpositions qui marquent les NPs obliques?,"Oblique NPs are NPs not required by the verb to be present, adverbial information, locative phrases, temporal phrases etc. Oblique function is defined as marking that relates the role of the argument to the predicate - that is not core (S, A or O). We explicitly exclude “genitive” from oblique cases since it is not concerned with the role of the argument to the predicate but within an NP. Languages can have oblique adpositions without also having adpositions or case marking core arguments.",2.9.06,327,77,OblNPAdpos,adposition,argument marking,constituent marking,Arawakan-specific
78,Is there a distinction between locational and directional adpositions?,,gerreesink,,0==absent||1==present,Existe-t-il une distinction entre des adpositions locatives et directionnelles?,If there are any different forms for locational and directional it would be (1). If location and direction is expressed by the same adposition always it is (0).,2.9.07,274,(74:0 ^ 75:0) -> 78:0,LocDirAdpos,adposition,argument marking,constituent marking,Arawakan-specific
79,"Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?",,gerreesink,"A, S, and O affixes are dealt with in 3.3",0==absent||1==present,"Existe-t-il des préfixes/proclitiques de verbe, autres que ceux qui marquent seulement A, S ou O (y compris des morphèmes portemanteaux : A & S + TAM) ?","The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expression more than one argument, relative markers or relative pronouns are also included here if they form a phonological units with the root. The outcome of this affixation has to be a verb, i.e. a affix that makes a verb into an instrumental noun for example would not count.",3.1.04a,276,(152:1 ν 101:1 ν 151:1 ν 149:1 ν 82:1 ν 83:1 ν 84:1 ν 87:1 ν 88:1 ν 107:1 ν 104:1 ν 103:1 ν 147:1 ν 148:1 ν 114:1 ν 115:1) -> (79:1 ^ 80:1),VPrefixASO,verb,TAM marking,affixes & clitics (- agreement),Arawakan-specific
80,"Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?",,gerreesink,,0==absent||1==present,"Existe-t-il des suffixes/enclitiques de verbe, autres que ceux qui marquent seulement A, S ou O (y compris des morphèmes portemanteaux : A & S + TAM) ?","The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expression more than one argument, relative markers or relative pronouns are also included here if they form a phonological units with the root. The outcome of this affixation has to be a verb, i.e. a affix that makes a verb into an instrumental noun for example would not count.",3.1.05a,288,(152:1 ν 101:1 ν 151:1 ν 149:1 ν 82:1 ν 83:1 ν 84:1 ν 87:1 ν 88:1 ν 107:1 ν 104:1 ν 103:1 ν 147:1 ν 148:1 ν 114:1 ν 115:1) -> (79:1 ^ 80:1),VSuffixASO,verb,TAM marking,affixes & clitics (- agreement),Arawakan-specific
81,"Can infixation be used on verbs for derivational, aspectual, or voice-changing purposes?",,gerreesink,,0==absent||1==present,"Est-il possible  de utiliser l’infixation sur les verbes des questions de dérivation, aspect ou de changement de voix ?","This affix is stem internal, not between other affixes. Kashaya is a languge that illustrates this principle well.",3.1.06,279,81,VInfix,verb,multiple,affixes & clitics (- agreement),Arawakan-specific
82,Is there present tense regularly morphologically marked on the verb?,,gerreesink,,0==absent||1==present,Est-ce que le temps présent est régulièrement marqué morphologiquement sur le verbe ?,"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"". This feature aims at capturing over marking of present tense on the verb, i.e. lack of other markings is not enough. Auxiliaries are also included in ""verbs"". There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary.  If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"".",3.2.01a,299,82,PresTense,verb,TAM marking,affixes & clitics (- agreement),Arawakan-specific
83,Is there past tense regularly morphologically marked on the verb?,,gerreesink,,0==absent||1==present,Est-ce que le temps passé est régulièrement marqué morphologiquement sur le verbe ?,"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"".  There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"".",3.2.02a,302,83,PastTenseV,verb,TAM marking,affixes & clitics (- agreement),Arawakan-specific
84,Is there future tense regularly morphologically marked on the verb?,,gerreesink,,0==absent||1==present,Est-ce que le temps futur est régulièrement marqué morphologiquement sur le verbe ?,"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"".  There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary.  If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"".",3.2.02b,299,84,FutTenseV,verb,TAM marking,affixes & clitics (- agreement),Arawakan-specific
85,"Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?",,gerreesink,,0==absent||1==present,"Existe-t-il plusieurs temps passé ou futur, c’est-à-dire plusieurs temps qui font des différences de distance par rapport au temps de référence, marqué sur le verbe ?","This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"".  There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary.  If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"".",3.2.02c,295,(83:0 ^ 84:0) - > 85:na,MultiTense,verb,TAM marking,affixes & clitics (- agreement),Arawakan-specific
86,Is a distinction between punctual/continuous aspect available as a morphological choice?,,gerreesink,,0==absent||1==present,Existe-t-il une distinction entre aspect ponctuel/continu en temps que choix morphologique ?,"These categories could go by the name of imperfect-perfective, preterit-progressive etc. The answer could be ""yes"" even if it's only one that is overtly marked, i.e. if imperfective is by affix and perfective by auxiliary for example.",3.2.10,315,86,PunctualCont,verb,TAM marking,affixes & clitics (- agreement),Arawakan-specific
87,Is a distinction between realis/irrealis mood available as a morphological choice?,,gerreesink,,0==absent||1==present,Existe-t-il un distinction  de mode realis/irrealis en temps que choix morphologique?,"Markers of status (realis/irrealis) need to be dedicated to that function and possible in most TAM-contexts, it cannot be restricted to certain TAM or polarity contexts.",3.2.11,301,87,RealisIrreal,verb,TAM marking,affixes & clitics (- agreement),Arawakan-specific
88,"Is there an apprehensive modal category marked on the verb also known as 'evitative', 'lest', etc.?",,gerreesink,"For example, in a sentence like ""he is sick "" can you mark  ""is-sick""  with an apprehensive modal category to get the meaning  he might become sick (and this is an unwanted state of affairs that one would like to avoid) .",0==absent||1==present,Existe-t-il une catégorie modale appréhensive ? Cette catégorie peut être appeler ‘evitative’ etc.,"For example, in a sentence like ""he is sick "" can you mark  ""is-sick""  with an apprehensive modal category to get the meaning  he might become sick (and this is an unwanted state of affairs that one would like to avoid) .",3.2.12,254,88,Apprehensive,verb,TAM marking,affixes & clitics (- agreement),Arawakan-specific
89,Is the S participant (at least sometimes) marked by a suffix/enclitic?,,gerreesink,3.3.07-3.3.12 pertain to verb morphology,0==absent||1==present,Est-ce que le participant S est marque par un suffixe/enclitique (au moins parfois)?,Is there a bound post verbal marker on the verb that marks for the S-participant?,3.3.07,336,89,SSuffix,verb,argument marking,head marking,Arawakan-specific
90,Is the S participant (at least sometimes) marked by a prefix/proclitic?,,gerreesink,,0==absent||1==present,Est-ce que le participant S est marqué (au moins parfois) par un préfixe/proclitique?,Is there a bound preverbal marker on the verb that marks for the S-participant?,3.3.08,339,90,SPrefix,verb,argument marking,head marking,Arawakan-specific
91,Is the A participant (at least sometimes) marked by a suffix/enclitic?,,gerreesink,,0==absent||1==present,Est-ce que le participant A est marqué (au moins parfois) par un suffixe/enclitique ?,Is there a bound post verbal marker on the verb that marks for the A-participant?,3.3.09,331,91,ASuffix,verb,argument marking,head marking,Arawakan-specific
92,Is the A participant (at least sometimes) marked by a prefix/proclitic?,,gerreesink,,0==absent||1==present,Est-ce que le participant A est marqué (au moins parfois) par un préfixe/proclitique ?,Is there a bound preverbal marker on the verb that marks for the A-participant?,3.3.10,334,92,APrefix,verb,argument marking,head marking,Arawakan-specific
93,Is the O participant (at least sometimes) marked by a suffix/enclitic?,,gerreesink,,0==absent||1==present,Est-ce que le participant O est marque par un suffixe/enclitique (au moins parfois)?,Is there a bound post verbal marker on the verb that marks for the O-participant?,3.3.11,331,93,OSuffix,verb,argument marking,head marking,Arawakan-specific
94,Is the O participant (at least sometimes) marked by a prefix/proclitic?,,gerreesink,,0==absent||1==present,Est-ce que le participant O est marqué (au moins parfois)par un préfixe/proclitique?,Is there a bound preverbal marker on the verb that marks for the o-participant?,3.3.12,328,94,OPrefix,verb,argument marking,head marking,Arawakan-specific
95,Are variations in marking strategies of core participants based on TAM distinctions?,,gerreesink,3.3.15-18 refer to variations (if they occur) in 3.3.07-12,0==absent||1==present,Est-ce que les variations dans les stratégies de marquage des participants basiques sont déterminées par des distinctions de TAM ?,"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. refer F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted.",3.3.15,313,249:0 -> 95:na,VVarTam,verb,argument marking,head marking,Arawakan-specific
96,Are variations in marking strategies of core participants based on verb classes?,,gerreesink,,0==absent||1==present,Est-ce que les variations de marquage des participants basiques sont déterminées par des distinctions de classes de verbes?,"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted.",3.3.16,309,249:0 -> 96:na,VVarVClass,verb,argument marking,head marking,Arawakan-specific
97,"Are variations in marking strategies of core participants based on clause type, e.g. main vs. subordinate?",,gerreesink,,0==absent||1==present,Est-ce que les variations de marquage des participants basiques sont déterminées par des distinctions de types de clause (principale ou subordonnée) ?,"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted.",3.3.17,296,249:0 -> 97:na,VVarClType,clause,argument marking,head marking,Arawakan-specific
98,Are variations in marking strategies  of core participants based on person distinctions?,,gerreesink,,0==absent||1==present,Est-ce que les variations de marquage des participants basiques sont déterminées par des distinctions de personnes?,"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted.",3.3.18,312,249:0 -> 98:na,VVarPerson,clause,argument marking,head marking,Arawakan-specific
99,Do verb stems alter according to the person of a core participant?,,gerreesink,,0==absent||1==present,Est-ce que les bases verbales varient selon la personne d’un participant basique?,I.e. can suppletion mark person?,3.3.21,299,99,PersonStemAlt,verb,person,suppletion,Arawakan-specific
100,Is number ever marked separately from person on the verb?,,gerreesink,,0==absent||1==present,Arrive-t-il que  le nombre soit marqué séparément de la personne sur le verbe?,"""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"". They do not have to be discontinuously marked (that is covered by F102), this question aims to capture whether or not they are marked together by a portmanteau morpheme.",3.3.22,301,Hed needs to redo,SepVerbNumPerson,verb,number,agreement,Arawakan-specific
101,"Are person, number and any TAM category (i.e. 3 or more categories in all) marked by portmanteau morphemes on verbs?",,gerreesink,The questions 3.3.23ff imply 'do they ever'?,0==absent||1==present,"Le nombre, la personne et tout autre catégorie de TAM (c’est-à-dire trois catégories ou plus en tout) sont-ils marqués par des morphèmes portemanteaux sur les verbes ?","On the verb here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"" here. This includes both verbal agreement and bound pronouns, i.e. this dependency does not hold: (83:0 ^ 84:0 ^ 85:0 ^ (200:0 ν 280:0)) -> 101:0.",3.3.23,314,(83:0 ^ 84:0 ^ 85:0 ^ (200:0 ν 280:0)) -> 101:0,Portmanteau3Plus,verb,TAM marking,agreement,Arawakan-specific
102,"Are categories such as person, number, gender related to a single participant discontinuously marked on a verb?",,gerreesink,,0==absent||1==present,"Est-ce que les catégories, comme personne, nombre, genre, qui sont liées à un seul participant sont marquées discontinuement sur le verbe?","On the verb here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"" here. This includes both verbal agreement and bound pronouns, i.e. this dependency does not hold: ((199 ^ 200:0) ν (278 ^ 280:0)) -> 102:0",3.3.24,312,((199 ^ 200:0) ν (278 ^ 280:0)) -> 102:0,DistributedCategory,verb,multiple,agreement,Arawakan-specific
103,Are benefactive nominals marked on the verb?,,gerreesink,"E.g., in  ""I stole a car for my mother"", is there any marking on the verb (here stole ) indexing the benefactive nominal (here ""my mother"")",0==absent||1==present,Les nominaux bénéfactifs sont-ils marqués sur le verbe ?,"This marker concerns a bound verbal marker that signals that the verb has a benefactive argument. The marker could be analyzed in the language-specific case as voice, agreement or a bound pronoun. The marker doesn't have to index the benefactor or benefactee. Serial-verb-constructions that include a marker of benefactive (typically the root for ""give"") do not count here.",3.4.02,321,103,BenMarkedV,verb,argument marking,head marking,Arawakan-specific
104,Can instruments be marked on the verb?,,gerreesink,,0==absent||1==present,Est-il possible  de marquer l’instrument sur le verbe ?,This marker doesn't have to index the instrument.,3.4.02a,279,104,InstMarkedV,verb,argument marking,head marking,Arawakan-specific
105,"Can recipients be treated as a transitive object, i.e. as Direct Object?",,gerreesink,,0==absent||1==present,Les  bénéficiaires peuvent-ils être traités comme des objets directs?,"F105 is concerned with both agreement on the verb and constituent marking (constituent marking = marking on the constituent that refers to the role the constituent has to the predicate, i.e. both adpositions (F76-77) and case (F71-73)). A ‘yes’ in F105 is firstly triggered by constituent marking. If there is no constituent marking of DO in the language whatsoever verbal agreement marking is considered. See F287-F90 for further subdivisions of this feature.",3.4.03,288,"(287:0 ^ 288:0 ^ 289:0 ^ 290:0) -> 105:0, (287:1 v 288:1) -> 105:1, ((287:0 ^ 288:0) ^ (289:1 v 290:1)) -> 105:1",RecipientObj,clause,argument marking,multiple,Arawakan-specific
106,Are there syntactically ditransitive verbs?,,gerreesink,,0==absent||1==present,Existe-t-il des verbes syntaxiquement ditransitifs?,"Are there verbs that can take three arguments without resorting to additional clauses, adpositional phrases or other constructions? If the only instance of a potential ditransitive is ‘give’, and a particular subset of give, than F106 should be answered no (0). Multiple topic constructions of the kind in Sino-Tibetan languages also do not qualify for a yes (1) in F106.",3.4.04,297,106,3PlacePreds,verb,verbal classification,conjugation,Arawakan-specific
107,Is negation marked morphologically on the verbs?,,gerreesink,"i.e. affixation, stem alternation, neutralization of some inflection",0==absent||1==present,La négation est-elle  morphologiquement marquée sur les verbes ?,"This feature refers to Standard Negation, i.e. at least the negation of dynamic verbal predicates in declarative mood. ""On the verb"" here means that the marker has to form a phonological unit with the root. This could refer to an affix, but suppletion, tonal marking and reduplication is also included.  Auxiliaries are also included in ""verbs"".",3.5.04,341,107,VNegation,verb,negation,affixes & clitics (- agreement),Arawakan-specific
108,Can locative or direction be morphologically marked on the verb?,,gerreesink,Locative as Direct Object ('she sleeps mat') does not qualify,0==absent||1==present,Est-il possible  de marquer la location ou la direction morphologiquement sur le verbe?,"Serial-verb-constructions that include a marker of location (verbs meaning ""go"") do not count here.",3.5.05a,282,108,VLocativeDir,verb,argument marking,head marking,Arawakan-specific
109,Are there suppletive verbs for number of participants?,,gerreesink,"(list them all if feasible, otherwise give an estimate of the number and/or proportion of nouns)",0==absent||1==present,Existe-t-il des verbes qui sont supplétifs selon le nombre des participants ?,"Please do note that ""number of participants"" need not be the same as number of the NPs that are the arguments of the verb, i.e ""people"" can be marked as singular even though it is semantically plural. Auxiliaries are also included in ""verbs"".",3.6.01,277,109,VSuppletion,verb,number,suppletion,Arawakan-specific
110,Are there suppletive verbs for tense or aspect?,,gerreesink,Are there verbs that have suppletive forms as to tense or aspect,0==absent||1==present,Existe-t-il des verbes qui marquent l’aspect ou le temps par supplétion ?,,3.6.01a,263,110,TASuppletion,verb,TAM marking,suppletion,Arawakan-specific
111,Are there conjugation classes?,,gerreesink,Are there different conjugation classes for verbs?,0==absent||1==present,Existe-t-il des classes de conjugaison ?,"Are there different groups of verbs that take different finiteness markers. This could also be two groups of ""regular"" and ""irregular"".",3.6.02,305,111,ConjClasses,verb,verbal classification,conjugation,Arawakan-specific
112,Are there (several) verbs which can be used either transitively or intransitively with no morphological marking?,,gerreesink,say no if it's only one or two stems; Intended here is the 'break' and 'open' type; not John eats/ eats the bread,0==absent||1==present,Existe-t-il (quelques) verbes pouvant être utilisés sot de manière transitive ou intransitive sans marquage morphologique ?,In order for a 'yes'(1) here it needs to be true of more than two verbal roots.,3.6.03,253,112,LabileVerbs,verb,verbal classification,conjugation,Arawakan-specific
113,Is there transitivising morphology (include clitics)?,,gerreesink,,0==absent||1==present,Existe-t-il de la morphologie transitivisante (inclure les clitiques) ?,"Is there morphology that increases the valency from 1 to 2, i.e. makes a intransitive verb transitive? Markers that increase the valency of already transitive verbs do not count (instrumental and benefactives), nor do causatives. The marker that has this function may also serves as the causative marker. Here is an example from Tok Pisin:""mi silip long graun"" for ""I am sleeping on the ground"" versus ""mi silipim ston long graun"" for ""I put the stone on the ground"".",3.6.04,313,113,TransMorph,verb,valency change,affixes & clitics (- agreement),Arawakan-specific
114,Is there morphology (include clitics) to mark a reflexive action?,,gerreesink,free word/particle does not count; neither a default P/N co-reference,0==absent||1==present,Existe-t-il un marquage morphologique (clitiques compris) pour l’action réfléchie ?,"This feature pertains to bound verbal marking. Phonologically independent elements do not count here, nor does co-reference of person or number with the subject.",3.6.06,297,114,ReflMorph,verb,valency change,affixes & clitics (- agreement),Arawakan-specific
115,Is there morphology (include clitics) to mark a reciprocal action?,,gerreesink,,0==absent||1==present,Existe-t-il un  marquage morphologie (clitiques compris) pour l’action réciproque ?,"This feature pertains to bound verbal marking. Phonologically independent elements do not count here, nor does co-reference of person or number with the subject.",3.6.07,304,115,RecipMorph,verb,valency change,affixes & clitics (- agreement),Arawakan-specific
116,"Do verbs classify the shape, size, consistency or position of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?",,gerreesink,,0==absent||1==present,"Les verbes permettent-ils de classer en forme, dimension,  consistance ou position  des arguments  absolutifs u moyen de noms incorporés, d’affixes verbaux ou de bases verbales supplétives?","This questions aims at capturing verbal classifier systems, these systems are not based on agreement with the noun class system (Aikhenvald 2000:149). The system can however be identical or very similar to the possessive, numeral or demonstrative classifier systems.",3.6.08,243,116,ShapeClass,verb,nominal classification,multiple,
117,Is there a copula for predicate nouns?,,gerreesink,e.g. John is a teacher,0==absent||1==present,Existe-t-il une copule pour prédiquer des noms (une copule équationnelle)?,"This linker does not have to be a finite verb, it could be a demonstrative.",3.7.01,328,117,Copula,copula,predication,inserted item,Arawakan-specific
118,Are there serial verb constructions?,,gerreesink,"(i.e. two or more verbs in juxtaposition, functioning as a single predicate, with no morphology to mark their relationship with each other. Each of the verbs is a separate phonological word but the construction as a whole is expressed in one intonational unit. Morphology is shared to a greater or lesser extent.)",0==absent||1==present,Existe-t-il des constructions de verbes sériel?,"Serial verbs are two or more verbs in juxtaposition, functioning as a single predicate, with no morphology to mark their relationship with each other. Each of the verbs is a separate phonological word but the construction as a whole is expressed in one intonational unit. Morphology is shared to a greater or lesser extent. Serial verbs are different from clause-chaining because the verbs involved in clause-chaining lack finiteness and cannot occur independently in that form whereas serial verbs take the appropriate finiteness marking. Serial verbs are different from compounds because they can each take their own arguments whereas the roots of a compound share arguments.",3.7.03,288,154:1 -> 118:1,SerialVConst,verb,predication,concatenation,Arawakan-specific
119,Are there modal auxiliaries?,,gerreesink,,0==absent||1==present,Existe-t-il des auxiliaires maudaux?,"The definition of auxiliary is not limited to morphemes that have a verbal origin, nor do they need to share morphology with the main verb. The main characteristics here is that they are productive, grammatical and obligatory ways of marking TAME, voice or negation and not a phonological unit with the main verb. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"". While negation can be considered a grammatical mood, it is not included in this feature.",3.7.04a,256,119,ModalAux,auxiliary,TAM marking,functional inventory,Arawakan-specific
120,Is aspect morphologically marked on the verb?,,gerreesink,,0==absent||1==present,Existe-t-il des auxiliaires aspectuels ?,"The definition of auxiliary is not limited to morphemes that have a verbal origin, nor do they need to share morphology with the main verb. The main characteristics here is that they are productive, grammatical and obligatory ways of marking TAME, voice or negation and not a phonological unit with the main verb. There are instances where grammatical aspect can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for more than one question.",3.7.04b,256,120,AspectAux,auxiliary,TAM marking,functional inventory,Arawakan-specific
121,Are there tense auxiliaries?,,gerreesink,,0==absent||1==present,Existe-t-il des auxiliaires de temps ?,"The definition of auxiliary is not limited to morphemes that have a verbal origin, nor do they need to share morphology with the main verb. The main characteristics here is that they are productive, grammatical and obligatory ways of marking TAME, voice or negation and not a phonological unit with the main verb. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary.  If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"".",3.7.04c,268,121,TenseAux,auxiliary,TAM marking,functional inventory,Arawakan-specific
122,Is verb compounding a regular process?,,gerreesink,(i.e. two or more verb stems acting as one phonological and grammatical word),0==absent||1==present,la formation de verbes composés est-elle un processus régulier ?,"Verbal compounding is two or more verb stems acting as one phonological and grammatical word. Verb compounds share the same arguments. Languages with serial verbs can often have verb compounds too, however they might not always be described as such.",3.7.05,247,122,VCompounding,verb,derivation,concatenation,Arawakan-specific
123,Are there verb-adjunct (aka light-verb) constructions?,,gerreesink,"(i.e. constructions involving a non-predicating element expressing the lexical meaning of the construction, in conjunction with a semantically fairly empty verb, which enables the element to function as a predicate by providing the necessary morphology, e.g. eye do for 'see'; or sneeze hit for 'sneeze')",0==absent||1==present,Existe-t-il des construction des verbes-adjointes (i.e. ‘light-verbs’)?,"This question concerns constructions involving a non-predicating element expressing the lexical meaning of the construction, in conjunction with a semantically fairly empty verb, which enables the element to function as a predicate by providing the necessary morphology, e.g. 'eye do' for 'see'; or 'sneeze hit' for 'sneeze'. Exclude constructions that fall into the categories of verb compounding, clause-chaining, auxiliaries and serial verbs are excluded from the category of ""light-verb"". The verb needs to be sufficiently productive, it cannot only concern a few instances.  It is uninteresting whether the predicating element is of nominal/verbal/other root. This means for example that what is described in the literature as ""co-verb constructions"" most likely are a subcategory of light verbs. It is also uninteresting for the definition of light-verbs whether or not the non-finite predicating element can occur outside the construction or not, both scenarios are acceptable. The category of light verbs cannot all consist of constructions describing states, there has to be at least a few dynamic events. There should also be instances where it is hard to define whether the non-finite predicating element (adjunct) is clearly nominal or not.",3.7.06,238,123,VAdjuncts,verb,derivation,concatenation,Arawakan-specific
124,Is there incorporation of nouns into verbs a productive intransitivizing process?,,gerreesink,,0==absent||1==present,L’incorporation de noms dans des verbes est-elle un processus productif d’ intransitivisation?,"Can transitive verbs become intransitive by means of noun incorporation, and is this process productive? This need not be the default productive way of intransitivizing nouns, but the process needs to be productive. The incorporated noun is the direct object of the verb. For example: ""he was painting the bike"" = ""he was bike-painting"". Noun incorporation where the noun is acting as modifier do not count, such as ""she was running like Jacob runs"" = ""she was Jacob-running"". If it is necessary to still overtly mark the direct object, for example with a pronoun that this does not count.",3.7.07a,215,124,VNIncorp,clause,valency change,concatenation,Arawakan-specific
125,"Is there productive incorporation of other elements (adjectives, locatives, etc.) into verbs?",,gerreesink,,0==absent||1==present,"Existe-t-il un processus productif d’incorporation d’autres éléments (adjectifs, locatifs, etc) aux verbes?","This question does not concern grammatical LOC-marking on verbs, but the incorporation of lexical items. Auxiliaries are also included in ""verbs"".",3.7.08,221,125,VOtherIncorp,verb,derivation,concatenation,Arawakan-specific
